Country,Province,County,District,Variables,Year,District_Name,County_Name,Province_Name,Major_Type
٣۴۵٨٠٩,٩۵٠٣,۴٩,0,تعداد ثبت نام کنندگان زن,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٣٠٣۴١٩,٨۵١٩,۴۴,0,تعداد شرکت کنندگان زن,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۴٨٧٠١,١٧٠۴,١۶,0,تعداد پذيرفته شدگان با آزمون زن,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۴۴۴۵۶,٩١٨,٣,0,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي زن,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٩٣١۵٧,٢۶٢٢,١٩,0,تعداد کل پذيرفته شدگان زن,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٢۶/٩۴,٢٧/۵٩,٣٨/٧٨,0,درصد قبولي پذيرفته شدگان زن,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١٨٩٣٠٢,۴٠٨٨,۵١,٢,تعداد ثبت نام کنندگان مرد,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١۶١٨٩۶,٣۶٢۵,۴٣,١,تعداد شرکت کنندگان مرد,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٢۴٨۵۵,٨٠٧,١۶,٠,تعداد پذيرفته شدگان با آزمون مرد,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٢۴٣٨١,٣۴٣,۴,٠,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي مرد,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۴٩٢٣۶,١١۵٠,٢٠,٠,تعداد کل پذيرفته شدگان مرد,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٢۶/٠١,٢٨/١٣,٣٩/٢٢,٠,درصد قبولي پذيرفته شدگان مرد,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۵٣۵١١١,١٣۵٩١,١٠٠,٢,تعداد ثبت نام کنندگان کل,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۴۶۵٣١۵,١٢١۴۴,٨٧,١,تعداد شرکت کنندگان کل,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٧٣۵۵۶,٢۵١١,٣٢,٠,تعداد پذيرفته شدگان با آزمون کل,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۶٨٨٣٧,١٢۶١,٧,٠,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي کل,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١۴٢٣٩٣,٣٧٧٢,٣٩,٠,تعداد کل پذيرفته شدگان کل,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٢۶/۶١,٢٧/٧۵,٣٩,٠,درصد قبولي پذيرفته شدگان کل,1395,پلنگ اباد,اشتھارد,البرز,تجربي
0,0,0,0,میانگین نمرات شرکت کنندگان,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٢۴/۵,٢۴/٨٢,٢۵/١۶,١٨/٧,فارسی,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١۵/٢۴,١۵/٨٣,١٧/٠٨,١٧/۴,عربي,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٢۶/۵٣,٢۵/٣٢,٣٠/٣٣,١٨/٧,معارف,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١١/۴٢,١۴/٨٣,٩/٣٩,٠,زبان,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٠/۶,٠/۴,٠/۴٢,٠,زمین شناسی,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۶/١۵,۶/۶,٧/١۶,١٠,رياضي,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٨/٠۵,٧/٨,١٠/۶٧,٢٧/٩,زيست شناسي,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۵/٨٣,۶/٠۵,٨/۴٧,٠,فیزيك,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۶/۴٩,۶/٢,٨/١۵,٢٠,شیمي,1395,پلنگ اباد,اشتھارد,البرز,تجربي
0,0,0,0,میانگین نمرات قبولین,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٣٩/۶٣,٣۵/۶٩,٣٠/١۶,٠,فارسی,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٣٠/٩٨,٢۶/۴۶,١٨/٢۴,٠,عربي,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۴۵/٩٣,٣٨/۴۶,٣۶/١۵,٠,معارف,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٢۴/۶,٢۴/۴٨,٨/۶٨,٠,زبان,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١/٧٢,١/٠١,-٠/٠٣,٠,زمین شناسی,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١٧/٢٩,١۴/۶٣,١٠/٧۵,٠,رياضي,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٢٢/٨٩,١٧/۶٣,١۵/۵٢,٠,زيست شناسي,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١٧/٣٣,١۴,١١/٨٧,٠,فیزيك,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١٧/٩٨,١٣/٧,١١/٠٩,٠,شیمي,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١٣/٨١,١۴/٠٩,١۴/۵۴,١۴/١۴,میانگین معدل کتبي ثبت نام کنندگان,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١٣/٨٩,١۴/١٩,١۴/٧۵,١٣/۶٩,میانگین معدل کتبي شرکت کنندگان,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١۶/۴٧,١۵/٨۴,١۵/۶١,٠,میانگین معدل کتبي پذيرفته شدگان در رشته ھاي با آزمون,1395,پلنگ اباد,اشتھارد,البرز,تجربي
١٢/۴٨,١٢/٩٢,١۴/٢,٠,میانگین معدل کتبي پذيرفته شده شدگان صرفا بر اساس سوابق تحصیلي,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۵۴٠٧,۵۴٣٩,۵٧٠٧,۶٣٩۴,میانگین نمره کل شرکت کنندگان,1395,پلنگ اباد,اشتھارد,البرز,تجربي
٧١٢٢,۶۶٣۵,۶٢۶٨,٠,میانگین نمره کل پذيرفته شدگان در رشته ھاي باآزمون,1395,پلنگ اباد,اشتھارد,البرز,تجربي
۶٢٧۵٠,٢٧٢٢,١٢,١٢,تعداد ثبت نام کنندگان زن,1395,مركزي,اشتھارد,البرز,رياضي
۵۴٩٧۵,٢۴٢٢,١١,١١,تعداد شرکت کنندگان زن,1395,مركزي,اشتھارد,البرز,رياضي
٣١٢۴۴,١۴٠۶,٩,٩,تعداد پذيرفته شدگان با آزمون زن,1395,مركزي,اشتھارد,البرز,رياضي
١٢١۵٩,۴٠٠,٠,٠,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي زن,1395,مركزي,اشتھارد,البرز,رياضي
۴٣۴٠٣,١٨٠۶,٩,٩,تعداد کل پذيرفته شدگان زن,1395,مركزي,اشتھارد,البرز,رياضي
۶٩/١٧,۶۶/٣۵,٧۵,٧۵,درصد قبولي پذيرفته شدگان زن,1395,مركزي,اشتھارد,البرز,رياضي
١١٠١٧٢,۴١٣۵,٢۶,٢۶,تعداد ثبت نام کنندگان مرد,1395,مركزي,اشتھارد,البرز,رياضي
٩۵١۴۶,٣۶٨۵,٢٠,٢٠,تعداد شرکت کنندگان مرد,1395,مركزي,اشتھارد,البرز,رياضي
۵٣٧۵۴,١٩٩٢,٧,٧,تعداد پذيرفته شدگان با آزمون مرد,1395,مركزي,اشتھارد,البرز,رياضي
٢٠٠٢٣,۵۶١,۶,۶,تعداد پذيرفته شدگان صرفا بر اساس سوابق تحصیلي مرد,1395,مركزي,اشتھارد,البرز,رياضي
٧٣٧٧٧,٢۵۵٣,١٣,١٣,تعداد کل پذيرفته شدگان مرد,1395,مركزي,اشتھارد,البرز,رياضي
۶۶/٩٧,۶١/٧۴,۵٠,۵٠,درصد قبولي پذيرفته شدگان مرد,1395,مركزي,اشتھارد,البرز,رياضي
١٧٢٩٢٢,۶٨۵٧,٣٨,٣٨,تعداد ثبت نام کنندگان کل,1395,مركزي,اشتھارد,البرز,رياضي
١۵٠١٢١,۶١٠٧,٣١,٣١,تعداد شرکت کنندگان کل,1395,مركزي,اشتھارد,البرز,رياضي
٨۴٩٩٨,٣٣٩٨,١۶,١۶,تعداد پذيرفته شدگان با آزمون کل,1395,مركزي,اشتھارد,البرز,رياضي
